Poll	Date	Biden	Sanders	Warren	Buttigieg	Bloomberg	Klobuchar	Yang	Booker	Gabbard	Steyer	Castro	Delaney	Bennet	Spread
The Hill/HarrisX	10/6 - 10/7	31	17	15	4	--	2	2	1	1	2	1	0	1	Biden +14
Quinnipiac	10/4 - 10/7	26	16	29	4	--	2	3	2	0	0	1	0	1	Warren +3
Politico/Morning Consult	9/30 - 10/6	33	19	21	5	--	1	3	2	1	1	1	1	1	Biden +12
IBD/TIPP	9/26 - 10/3	26	10	27	7	--	1	3	0	1	0	1	0	0	Warren +1
Economist/YouGov	9/28 - 10/1	22	13	28	7	--	1	3	2	2	1	1	0	2	Warren +6
Monmouth	9/23 - 9/29	25	15	28	5	--	1	2	1	0	1	1	0	0	Warren +3
Politico/Morning Consult	9/23 - 9/29	32	19	21	5	--	1	3	3	1	1	1	1	1	Biden +11
Economist/YouGov	9/22 - 9/24	26	16	27	6	--	1	2	0	1	0	0	1	1	Warren +1
Harvard-Harris	9/22 - 9/24	28	16	17	3	--	1	3	2	1	2	2	0	--	Biden +11
Emerson	9/21 - 9/23	25	22	23	6	--	0	8	2	1	0	2	0	0	Biden +2
Quinnipiac	9/19 - 9/23	25	16	27	7	--	2	2	0	1	0	2	0	1	Warren +2
The Hill/HarrisX	9/20 - 9/21	31	16	14	5	--	2	2	2	1	1	3	1	1	Biden +15
Politico/Morning Consult	9/16 - 9/22	32	19	20	5	--	2	3	3	1	1	1	1	1	Biden +12
FOX News	9/15 - 9/17	29	18	16	5	--	2	2	3	0	1	0	1	1	Biden +11
Economist/YouGov	9/14 - 9/17	26	14	21	9	--	1	3	2	2	0	1	0	1	Biden +5
NBC News/Wall St. Jrnl	9/13 - 9/16	31	14	25	7	--	2	4	2	1	1	1	1	1	Biden +6
SurveyUSA	9/13 - 9/16	33	17	19	5	--	1	3	4	--	--	1	--	--	Biden +14
Politico/Morning Consult	9/13 - 9/15	32	20	18	5	--	2	3	3	1	1	1	1	0	Biden +12
Reuters/Ipsos	9/9 - 9/10	22	16	11	4	--	1	3	3	1	1	1	--	0	Biden +6
Economist/YouGov	9/8 - 9/10	26	16	26	6	--	1	2	2	1	0	1	0	1	Tie
The Hill/HarrisX	9/7 - 9/8	27	15	12	4	--	1	5	3	1	1	2	1	1	Biden +12
CNN	9/5 - 9/9	24	17	18	6	--	1	2	2	2	1	1	0	1	Biden +6
Politico/Morning Consult	9/2 - 9/8	33	21	16	5	--	1	3	3	1	1	1	1	1	Biden +12
ABC News/Wash Post	9/2 - 9/5	29	19	18	4	--	2	3	1	2	1	0	0	0	Biden +10
Economist/YouGov	9/1 - 9/3	26	14	22	5	--	0	3	1	3	0	1	1	1	Biden +4
Politico/Morning Consult	8/26 - 9/1	32	20	16	5	--	1	3	3	1	1	1	1	1	Biden +12
Harvard-Harris	8/26 - 8/28	32	16	13	4	--	1	2	3	1	1	1	1	--	Biden +16
Economist/YouGov	8/24 - 8/27	25	14	21	5	--	1	2	2	2	1	1	0	1	Biden +4
IBD/TIPP	8/22 - 8/30	28	12	24	5	--	1	1	4	0	0	1	0	0	Biden +4
LA Times/USC	8/12 - 9/8	28	13	11	4	--	1	2	2	1	0	0	0	0	Biden +15
Emerson	8/24 - 8/26	31	24	15	3	--	1	4	3	3	0	1	0	0	Biden +7
Quinnipiac	8/21 - 8/26	32	15	19	5	--	1	3	1	1	0	0	0	1	Biden +13
The Hill/HarrisX	8/23 - 8/24	30	17	14	4	--	1	2	2	1	1	1	0	1	Biden +13
USA Today/Suffolk	8/20 - 8/25	32	12	14	6	--	0	3	2	0	0	1	0	0	Biden +18
Politico/Morning Consult	8/19 - 8/25	33	20	15	5	--	1	2	3	1	1	1	1	1	Biden +13
Economist/YouGov	8/17 - 8/20	22	19	18	8	--	0	1	2	2	0	1	0	0	Biden +3
Monmouth	8/16 - 8/20	19	20	20	4	--	1	3	4	1	0	2	0	0	Tie
CNN	8/15 - 8/18	29	15	14	5	--	1	1	2	2	1	2	0	0	Biden +14
Politico/Morning Consult	8/12 - 8/18	31	20	15	5	--	1	3	3	1	1	1	1	0	Biden +11
FOX News	8/11 - 8/13	31	10	20	3	--	2	3	3	1	1	1	1	0	Biden +11
Economist/YouGov	8/10 - 8/13	23	16	20	6	--	1	2	2	2	1	1	0	1	Biden +3
The Hill/HarrisX	8/9 - 8/10	31	16	10	4	--	2	1	1	1	1	2	1	0	Biden +15
Politico/Morning Consult	8/5 - 8/11	33	20	14	5	--	1	2	3	1	1	1	1	1	Biden +13
Economist/YouGov	8/3 - 8/6	25	13	18	7	--	1	2	2	3	1	1	1	1	Biden +7
Quinnipiac	8/1 - 8/5	32	14	21	5	--	1	1	2	1	0	1	0	0	Biden +11
SurveyUSA	8/1 - 8/5	33	20	19	8	--	1	0	1	0	0	0	0	0	Biden +13
Reuters/Ipsos	8/1 - 8/5	25	20	10	5	--	1	2	3	1	0	1	0	0	Biden +5
Politico/Morning Consult	8/1 - 8/4	33	19	15	6	--	1	2	3	1	1	1	1	0	Biden +14
Politico/Morning Consult	8/1 - 8/1	32	18	15	6	--	1	2	3	1	1	1	1	0	Biden +14
Harvard-Harris	7/31 - 8/1	34	17	8	4	0	1	1	2	0	1	1	0	--	Biden +17
Economist/YouGov	7/27 - 7/30	26	13	20	6	--	0	1	3	2	0	2	1	0	Biden +6
IBD/TIPP	7/25 - 8/1	30	12	17	6	--	1	0	2	1	--	0	0	0	Biden +13
Emerson	7/27 - 7/29	33	20	14	6	--	0	2	0	1	2	1	1	0	Biden +13
The Hill/HarrisX	7/27 - 7/28	34	20	12	5	--	1	1	1	0	1	1	1	0	Biden +14
Quinnipiac	7/25 - 7/28	34	11	15	6	--	1	2	1	1	0	0	0	0	Biden +19
Politico/Morning Consult	7/22 - 7/28	33	18	13	5	--	1	2	3	1	1	1	1	1	Biden +15
FOX News	7/21 - 7/23	33	15	12	5	--	3	3	2	0	1	1	1	0	Biden +18
Economist/YouGov	7/21 - 7/23	25	13	18	7	--	1	2	2	2	1	2	0	0	Biden +7
LA Times/USC	7/12 - 7/25	28	11	10	5	--	1	1	1	0	0	1	0	0	Biden +17
Politico/Morning Consult	7/15 - 7/21	33	18	14	5	--	1	2	2	1	1	1	1	0	Biden +15
Economist/YouGov	7/14 - 7/16	25	12	16	6	--	1	0	3	1	1	0	0	1	Biden +9
The Hill/HarrisX	7/12 - 7/13	29	16	9	1	--	1	0	1	1	0	1	1	0	Biden +13
Politico/Morning Consult	7/8 - 7/14	32	19	14	5	--	1	2	2	1	--	1	1	1	Biden +13
NBC News/Wall St. Jrnl	7/7 - 7/9	26	13	19	7	--	1	2	1	0	--	1	1	1	Biden +7
Economist/YouGov	7/7 - 7/9	22	12	18	6	--	1	1	2	3	--	2	0	0	Biden +4
Emerson	7/6 - 7/8	30	15	15	5	--	1	3	2	2	--	0	0	1	Biden +15
Politico/Morning Consult	7/1 - 7/7	31	19	13	6	--	1	1	2	1	--	1	1	0	Biden +12
Economist/YouGov	6/30 - 7/2	23	9	19	8	--	0	1	2	1	--	1	0	1	Biden +4
Reuters/Ipsos	6/28 - 7/2	24	17	11	4	--	1	3	1	0	--	1	0	0	Biden +7
ABC News/Wash Post	6/28 - 7/1	30	19	12	4	--	2	0	1	1	--	3	0	1	Biden +11
Quinnipiac	6/28 - 7/1	22	13	14	4	--	1	1	3	1	--	1	0	0	Biden +2
The Hill/HarrisX	6/29 - 6/30	33	15	9	6	--	0	1	2	1	--	1	0	1	Biden +18
CNN	6/28 - 6/30	22	14	15	4	--	2	1	3	1	--	1	0	0	Biden +5
Harvard-Harris	6/26 - 6/29	34	15	11	3	--	1	1	3	2	--	1	1	--	Biden +19
Politico/Morning Consult	6/27 - 6/28	33	19	12	6	--	1	2	3	1	--	1	1	0	Biden +14
Economist/YouGov	6/22 - 6/25	25	15	19	6	--	0	1	1	3	--	1	0	1	Biden +6
Emerson	6/21 - 6/24	34	27	14	6	--	1	1	3	0	--	0	0	0	Biden +7
Politico/Morning Consult	6/17 - 6/23	38	19	13	7	--	1	2	3	1	--	1	1	1	Biden +19
Economist/YouGov	6/16 - 6/18	26	12	16	9	--	1	1	2	1	--	1	1	1	Biden +10
Monmouth	6/12 - 6/17	32	14	15	5	--	1	2	2	1	--	0	0	0	Biden +17
The Hill/HarrisX	6/14 - 6/15	35	13	7	4	--	1	0	3	0	--	2	1	1	Biden +22
Politico/Morning Consult	6/10 - 6/16	38	19	11	7	--	1	1	3	1	--	1	1	1	Biden +19
USA Today/Suffolk	6/11 - 6/15	30	15	10	9	--	0	1	2	0	--	1	0	0	Biden +15
FOX News	6/9 - 6/12	32	13	9	8	--	2	2	3	1	--	1	1	0	Biden +19
Economist/YouGov	6/9 - 6/11	27	12	16	8	--	0	1	2	0	--	1	0	1	Biden +11
Quinnipiac	6/6 - 6/10	30	19	15	8	--	1	1	1	0	--	0	0	0	Biden +11
Politico/Morning Consult	6/3 - 6/9	37	19	11	7	--	2	1	3	1	--	1	1	1	Biden +18
Economist/YouGov	6/2 - 6/4	27	15	12	10	--	1	1	2	1	--	0	1	0	Biden +12
The Hill/HarrisX	6/1 - 6/2	35	16	5	8	--	1	0	3	0	--	0	0	1	Biden +19
Politico/Morning Consult	5/27 - 6/2	38	19	10	7	--	1	1	3	1	--	1	1	1	Biden +19
CNN	5/28 - 5/31	32	18	7	5	--	2	1	3	1	--	2	0	1	Biden +14
Harvard-Harris	5/29 - 5/30	36	17	5	5	1	0	1	3	0	--	1	1	--	Biden +19
Politico/Morning Consult	5/20 - 5/26	38	20	9	7	--	1	1	3	1	--	1	1	1	Biden +18
Monmouth	5/16 - 5/20	33	15	10	6	--	3	1	1	1	--	1	0	0	Biden +18
The Hill/HarrisX	5/17 - 5/18	33	14	8	6	--	1	1	1	0	--	1	0	0	Biden +19
Quinnipiac	5/16 - 5/20	35	16	13	5	--	2	1	3	1	--	1	0	0	Biden +19
Politico/Morning Consult	5/13 - 5/20	39	19	9	6	--	1	1	3	1	--	1	1	1	Biden +20
FOX News	5/11 - 5/14	35	17	9	6	--	2	1	3	1	--	2	1	0	Biden +18
Emerson	5/10 - 5/13	33	25	10	8	--	1	1	1	1	--	2	0	1	Biden +8
Politico/Morning Consult	5/6 - 5/12	39	19	8	6	--	2	1	3	1	--	1	0	1	Biden +20
The Hill/HarrisX	5/3 - 5/4	46	14	7	8	--	0	1	3	1	--	1	1	1	Biden +32
Politico/Morning Consult	4/29 - 5/5	40	19	8	6	--	2	1	3	1	--	1	1	--	Biden +21
Harvard-Harris	4/30 - 5/1	44	14	5	2	2	2	0	3	0	--	0	1	--	Biden +30
Quinnipiac	4/26 - 4/29	38	11	12	10	--	1	1	2	0	--	1	0	--	Biden +26
CNN	4/25 - 4/28	39	15	8	7	--	2	1	2	2	--	1	0	0	Biden +24
Politico/Morning Consult	4/22 - 4/28	36	22	9	8	--	2	2	3	1	--	1	1	--	Biden +14
Monmouth	4/11 - 4/15	27	20	6	8	--	1	0	2	0	--	0	0	0	Biden +7
Politico/Morning Consult	4/15 - 4/21	30	24	7	9	--	2	2	4	1	--	1	0	--	Biden +6
Emerson	4/11 - 4/14	24	29	7	9	--	1	3	2	1	--	3	1	--	Sanders +5
Politico/Morning Consult	4/8 - 4/14	31	23	7	7	--	2	1	4	1	--	1	1	--	Biden +8
Politico/Morning Consult	4/1 - 4/7	32	23	7	5	--	2	1	4	1	--	1	1	--	Biden +9
The Hill/HarrisX	4/5 - 4/6	36	19	6	4	--	2	1	6	0	--	1	0	--	Biden +17
LA Times/USC	3/15 - 4/15	27	16	4	2	--	1	1	2	1	--	1	0	--	Biden +11
Politico/Morning Consult	3/25 - 3/31	33	25	7	3	--	2	--	4	1	--	1	1	--	Biden +8
Quinnipiac	3/21 - 3/25	29	19	4	4	--	2	0	2	0	--	1	--	--	Biden +10
Harvard-Harris	3/25 - 3/26	35	17	6	2	--	2	1	4	2	--	1	--	--	Biden +18
Harvard-Harris	3/25 - 3/26	26	18	5	2	0	1	2	3	0	--	1	--	--	Biden +8
Politico/Morning Consult	3/18 - 3/24	35	25	7	2	--	2	--	4	1	--	1	1	--	Biden +10
FOX News	3/17 - 3/20	31	23	4	1	--	1	1	4	0	--	1	1	0	Biden +8
Emerson	3/17 - 3/18	26	26	8	3	--	1	1	3	1	--	1	--	--	Tie
CNN	3/14 - 3/17	28	20	6	1	--	3	--	3	0	--	1	0	--	Biden +8
Politico/Morning Consult	3/11 - 3/17	35	27	7	1	--	2	--	4	1	--	1	1	--	Biden +8
Politico/Morning Consult	3/4 - 3/10	31	27	7	1	--	3	--	4	1	--	1	1	--	Biden +4
Monmouth	3/1 - 3/4	28	25	8	0	2	3	1	5	0	--	1	0	0	Biden +3
Politico/Morning Consult	2/25 - 3/3	31	27	7	1	2	3	--	4	1	--	1	0	--	Biden +4
Harvard-Harris	2/19 - 2/20	37	22	4	--	3	--	--	2	1	--	2	--	--	Biden +15
Harvard-Harris	2/19 - 2/20	30	19	4	--	2	--	--	5	0	--	0	--	--	Biden +11
Politico/Morning Consult	2/18 - 2/24	29	27	7	1	2	3	--	4	1	--	1	1	--	Biden +2
Politico/Morning Consult	2/11 - 2/17	30	21	8	0	2	4	--	5	1	--	1	0	--	Biden +9
Emerson	2/14 - 2/16	27	17	9	0	2	5	--	9	2	--	1	0	--	Biden +10
Politico/Morning Consult	2/4 - 2/10	29	22	8	--	2	3	--	5	1	--	1	--	--	Biden +7
Monmouth	1/25 - 1/27	29	16	8	0	4	2	--	4	1	--	1	0	--	Biden +13
Politico/Morning Consult	1/25 - 1/27	33	15	6	--	2	1	--	3	0	--	1	--	--	Biden +18
