raw_time,name,text,time,time_difference,actual_time,debate
00:03:03,Amy Klobuchar,"And then the third thing I would do is make it easier for students to pay off their student loans. Because I can tell you this, if billionaires can pay off their yacht, students should be able to pay off their student loans.",0 days 00:03:03.000000000,0 days 00:00:12.000000000,0 days 00:03:03.000000000,first_1
00:03:15,Savannah,That’s time. Thank you.,0 days 00:03:15.000000000,0 days 00:00:02.000000000,0 days 00:03:15.000000000,first_1
00:03:17,Savannah,"Congressman O’Rourke, what we’ve just been discussing and talking about is how much fundamental change to the economy is desirable and how much is actually doable? In that vein, some Democrats want a marginal individual tax rate of 70% on the very highest earners, those making more than $10 million a year. Would you support that? And if not, what would your top individual rate be?",0 days 00:03:17.000000000,0 days 00:00:24.000000000,0 days 00:03:17.000000000,first_1
00:03:41,Beto O’Rourke,"This economy has got to work for everyone, and right now we know that it isn’t. It’s going to take all of us coming together to make sure that it does.",0 days 00:03:41.000000000,0 days 00:00:11.000000000,0 days 00:03:41.000000000,first_1
00:03:52,Beto O’Rourke,foreign language 00:03:52].,0 days 00:03:52.000000000,0 days 00:00:20.000000000,0 days 00:03:52.000000000,first_1
00:04:12,Beto O’Rourke,"Right now we have a system that favors those who can pay for access and outcomes. That’s how you explain an economy that is rigged to corporations and to the very wealthiest, a $2 trillion tax cut that favored corporations while they were sitting on record piles of cash and the very wealthiest in this country at a time of historic wealth inequality.",0 days 00:04:12.000000000,0 days 00:00:20.000000000,0 days 00:04:12.000000000,first_1
00:04:32,Beto O’Rourke,"A new democracy that is revived because we’ve returned power to the people, no packs, no gerrymandering, automatic and same day voter registration to bring in more voters, and a new voting rights act to get rid of the barriers that are in place now, that’s how we each have a voice in our democracy and make this economy work for everybody.",0 days 00:04:32.000000000,0 days 00:00:17.000000000,0 days 00:04:32.000000000,first_1
00:04:49,Savannah,"Congressman, that’s time sir.",0 days 00:04:49.000000000,0 days 00:00:03.000000000,0 days 00:04:49.000000000,first_1
00:04:52,Savannah,"I’ll give you 10 seconds to answer if you want to answer the direct question, would you support a 70% individual marginal tax rate? Yes, no, or pass?",0 days 00:04:52.000000000,0 days 00:00:07.000000000,0 days 00:04:52.000000000,first_1
00:04:59,Beto O’Rourke,I would support a tax rate and a tax code that is fair to everyone. Tax capital –,0 days 00:04:59.000000000,0 days 00:00:05.000000000,0 days 00:04:59.000000000,first_1
00:05:04,Savannah,70% ?,0 days 00:05:04.000000000,0 days 00:00:00.000000000,0 days 00:05:04.000000000,first_1
00:05:04,Beto O’Rourke,"At the same rate that you tax ordinary income, take that corporate tax rate up to 28%, you would generate the revenues you need to pay for the programs we’re talking about.",0 days 00:05:04.000000000,0 days 00:00:08.000000000,0 days 00:05:04.000000000,first_1
00:05:12,Savannah,That’s time. Thank you.,0 days 00:05:12.000000000,0 days 00:00:02.000000000,0 days 00:05:12.000000000,first_1
00:05:14,Savannah,"Senator Booker, there is a debate in this party right now about the role of corporations as you know. Senator Warren in particular, put out a plan to break up tech companies like Facebook, Amazon, and Google. You’ve said we should not, “Be running around pointing at companies and breaking them up without any kind of process.” Why do you disagree?",0 days 00:05:14.000000000,0 days 00:00:20.000000000,0 days 00:05:14.000000000,first_1
00:05:34,Cory Booker,"I don’t think I disagree, I think we have a serious problem in our country with corporate consolidation, and you see the evidence of that in how dignity is being stripped from labor and we have people that work full-time jobs and still can’t make a living wage. We see that because consumer prices are being raised by pharmaceutical companies that often have monopolistic holds on drugs, and you see that by just the fact that this is actually an economy that’s hurting small businesses and not allowing them to compete.",0 days 00:05:34.000000000,0 days 00:00:28.000000000,0 days 00:05:34.000000000,first_1
00:06:02,Cory Booker,"One of the most aggressive bills in the Senate to deal with corporate consolidation is mine about corporate consolidation in the Ag sector. So I feel very strongly about the need to check the corporate consolidation and let the free market work. I’ll tell you this, I live in a low income black and brown community. I see every single day that this economy is not working for average Americans.",0 days 00:06:02.000000000,0 days 00:00:22.000000000,0 days 00:06:02.000000000,first_1
00:06:24,Cory Booker,"The indicators that are being used from GDP to Wall Street’s rankings, is not helping people in my community. It is about time that we have economy that works for every body not just the wealthiest in our nation.",0 days 00:06:24.000000000,0 days 00:00:13.000000000,0 days 00:06:24.000000000,first_1
00:06:37,Savannah,"But quickly Senator Booker, you did say that you didn’t think it was right to name names, to name companies and single them out as Senator Warren has. Briefly, why is that?",0 days 00:06:37.000000000,0 days 00:00:10.000000000,0 days 00:06:37.000000000,first_1
00:06:47,Cory Booker,"Well again, I will single out companies like Halliburton or Amazon that pay nothing in taxes, and I’ll need to change that. When it comes to antitrust law, what I will do is, number one, appoint judges that will enforce it. Number two, have a DOJ and a federal trade commission that will go through the processes necessary to check this kind of corporate concentration. At the end of the day, we have too much of a problem with corporate power growing. We see that with everything from citizens united and the way they’re trying to influence Washington.",0 days 00:06:47.000000000,0 days 00:00:28.000000000,0 days 00:06:47.000000000,first_1
00:07:15,Cory Booker,"It’s about time that we have a president that fights for the people in this country, we need to have someone that’s a champion for them.",0 days 00:07:15.000000000,0 days 00:00:08.000000000,0 days 00:07:15.000000000,first_1
00:07:23,Savannah,"Thank you, senator. Senator Warren, I mentioned you. Are you picking winners and losers?",0 days 00:07:23.000000000,0 days 00:00:07.000000000,0 days 00:07:23.000000000,first_1
00:07:30,Elizabeth Warren,"The way I understand this, is there is way too much consolidation now in giant industries in this country, that hurts workers, it hurts small businesses, it hurts independent farmers, it hurts our economy overall, and it helps constrict real innovation and growth in this economy.",0 days 00:07:30.000000000,0 days 00:00:18.000000000,0 days 00:07:30.000000000,first_1
00:07:48,Elizabeth Warren,"Now look, we’ve had the laws out there for a long time to be able to fight back. What’s been missing is courage, courage in Washington to take on the giants. That’s part of the corruption in this system. It has been far too long that the monopolies have been making the campaign contributions, have been funding the super packs, have been out there making sure that their influence is heard and felt in every single decision that gets made in Washington.",0 days 00:07:48.000000000,0 days 00:00:30.000000000,0 days 00:07:48.000000000,first_1
00:08:18,Elizabeth Warren,"Where I want to start this is I want to return government to the people and that means calling out the names of the monopolies and saying, “I have the courage to go after them.”",0 days 00:08:18.000000000,0 days 00:00:11.000000000,0 days 00:08:18.000000000,first_1
00:08:29,Savannah,Thank you.,0 days 00:08:29.000000000,0 days 00:00:03.000000000,0 days 00:08:29.000000000,first_1
00:08:32,Lester Holt,"Secretary Castro, the next question is for you. Democrats have been talking about the pay gap for decades. What would you do to ensure that women are paid fairly in this country?",0 days 00:08:32.000000000,0 days 00:00:10.000000000,0 days 00:08:32.000000000,first_1
00:08:42,Julián Castro,"Thank you very much for that question, Lester. I grew up with a mother who raised my brother Joaquin and me as a single parent, and I know what it’s like to struggle, I know what it’s like to rent a home and to worry about whether you’re going to be able to pay the rent at the first of the month, and to see a mom work very, very hard and know that moms across this country are getting paid less simply because they’re women, I would do several things starting with something we should’ve done a long time ago, which is to pass the Equal Rights Amendment finally in this country and also pursue legislation so that women are paid equal pay for equal work in this country.",0 days 00:08:42.000000000,0 days 00:00:41.000000000,0 days 00:08:42.000000000,first_1
00:09:23,Julián Castro,"It’s past time that we did that, and we have to do this. If we want to be the most prosperous nation in the 21st century, we need to make sure that women are paid what they deserve.",0 days 00:09:23.000000000,0 days 00:00:11.000000000,0 days 00:09:23.000000000,first_1
00:09:34,Lester Holt,"All right, thank you. I want to put the same question to Congresswoman Gabbard, your thoughts on equal pay.",0 days 00:09:34.000000000,0 days 00:00:06.000000000,0 days 00:09:34.000000000,first_1
00:09:40,Tulsi Gabbard,"First of all, let’s recognize the situation we’re in, that the American people deserve a president who will put your interests ahead of the rich and powerful, that’s not what we have right now.",0 days 00:09:40.000000000,0 days 00:00:10.000000000,0 days 00:09:40.000000000,first_1
00:09:50,Tulsi Gabbard,"I enlisted in the Army National Guard after the Al-Qaida terror attacks on 911, so I could go after those who had attacked us on that day, I still serve as a Major. I served over 16 years, deployed twice in the Middle East, and in Congress, I’ve serve on the foreign affairs and armed services committees for over six years. I know the importance of our national security, as well as the terribly high cost of war. And for too long, our leaders have failed us, taking us from one regime change war to the next, leading us into a new cold war, an arms race costing us trillions of our hard earned taxpayer dollars and countless lives.",0 days 00:09:50.000000000,0 days 00:00:37.000000000,0 days 00:09:50.000000000,first_1
00:10:27,Tulsi Gabbard,"This insanity must end, and as president I will take your hard earned taxpayer dollars and instead, invest those dollars into serving your needs. Things like healthcare, a green economy, good paying jobs, protecting our environment, and so much more.",0 days 00:10:27.000000000,0 days 00:00:20.000000000,0 days 00:10:27.000000000,first_1
00:10:47,Jose,"Mayor Blasio, good evening. You’re the mayor of the biggest city in the United States, but it’s also one of the cities in the country with the greatest gap between the wealthy and the poor. How would you address income inequality?",0 days 00:10:47.000000000,0 days 00:00:12.000000000,0 days 00:10:47.000000000,first_1
00:10:59,Bill de Blasio,"Well, we’ve been addressing income inequality in New York City by raising wages, by raising benefits, by putting money back in the hands of working people, $15 minimum wage, paid sick days, pre-K for all, things that are making a huge difference in working people’s lives. But let me tell you, what we’re hearing here already in the first round of questions is that battle for the heart and soul of our party. I want to make it clear, this is supposed to be the party of working people. Yes, we’re supposed to be for 70% tax rate on the wealthy, yes, we’re supposed to be for free college, free public college, for our young people. We are supposed to break up big corporations when they’re not serving our democracy.",0 days 00:10:59.000000000,0 days 00:00:41.000000000,0 days 00:10:59.000000000,first_1
00:11:40,Bill de Blasio,"This Democratic Party has to be strong and bold and progressive, and in New York we’ve proven that we can do something very different, we can put money back in the hands of working people. And let me tell you, every time you talk about investing in people, in their communities, you hear folks saying there’s not enough money. What I say to them every single time is, “There’s plenty of money in this world, there’s plenty of money in this country, it’s just in the wrong hands.”",0 days 00:11:40.000000000,0 days 00:00:23.000000000,0 days 00:11:40.000000000,first_1
00:12:03,Jose,Thank you. Congressman –,0 days 00:12:03.000000000,0 days 00:00:01.000000000,0 days 00:12:03.000000000,first_1
00:12:04,Bill de Blasio,crosstalk 00:12:04] have to fix that.,0 days 00:12:04.000000000,0 days 00:00:01.000000000,0 days 00:12:04.000000000,first_1
00:12:05,Jose,"Congressman Delaney, you agree?",0 days 00:12:05.000000000,0 days 00:00:03.000000000,0 days 00:12:05.000000000,first_1
00:12:08,John Delaney,"I think we need to do real things to help American workers and the American people, this is the issue that all of us hear on the campaign trail. We need to make sure everyone has a living wage, and I’ve called for a doubling of the earned income tax credit, raising the minimum wage, and creating paid family leave. That will create a situation where people actually have a living wage that gets right to workers.",0 days 00:12:08.000000000,0 days 00:00:22.000000000,0 days 00:12:08.000000000,first_1
00:12:30,John Delaney,"Then we got to fix our public education system. It’s not delivering the results our kids needs, nor is college, and post high school, career and technical training programs, doing that. I’m very different than everyone else here on this stage. Prior to being in Congress, I was an entrepreneur. I started two businesses. I created thousands of jobs. I spent my whole career helping small to midsize businesses all over the country. 5,000 of them, I supported. The Obama Administration gave me an award for lending to disadvantaged communities.",0 days 00:12:30.000000000,0 days 00:00:32.000000000,0 days 00:12:30.000000000,first_1
00:13:02,John Delaney,"I know how to create jobs. We need a short-term strategy, which is to put money in the pockets of workers, with earned income tax credit, raising the minimum wage and created paid family leave, and then we need to have a long-term strategy to make sure this country is competitive, and we’re creating jobs everywhere in this country.",0 days 00:13:02.000000000,0 days 00:00:15.000000000,0 days 00:13:02.000000000,first_1
00:13:17,Jose,"Thank you. Governor Inslee, how would you address income inequality?",0 days 00:13:17.000000000,0 days 00:00:03.000000000,0 days 00:13:17.000000000,first_1
00:13:20,Jay Inslee,"Well, I’m a little bit surprised. I think plans are great, but I’m a governor and we got to realize the people who brought us the weekend, unions, neither are going to bring us a long overdue raise in America, and I’m proud of standing up for unions, I’ve got a plan to reinvigorate collective bargaining, so we can increase wages finally.",0 days 00:13:20.000000000,0 days 00:00:20.000000000,0 days 00:13:20.000000000,first_1
00:13:40,Jay Inslee,"I marched with the SEIU folks. It is not right that the CEO of McDonald’s makes 2,100 times more than the people slinging hash at McDonald’s. And the next thing I’ll do is put people to work in the jobs of the present and the future. Donald Trump is simply wrong. He says wind turbines cause cancer, we know they cause jobs, and we know that we can put millions of people to work in the clean energy jobs of the future, carpenters, IBWs members, machinists.",0 days 00:13:40.000000000,0 days 00:00:33.000000000,0 days 00:13:40.000000000,first_1
00:14:13,Jay Inslee,"We’re doing it in my state today, and then we can do what America always does, lead the world and invent the future and put people to work. That’s what we’re going to do in all the states.",0 days 00:14:13.000000000,0 days 00:00:09.000000000,0 days 00:14:13.000000000,first_1
00:14:22,Jose,"Congressman Ryan, president Trump… and you just referred to him, promised that manufacturing jobs were all coming back to places like your home state of Ohio. Can you make that same promise?",0 days 00:14:22.000000000,0 days 00:00:13.000000000,0 days 00:14:22.000000000,first_1
00:14:35,Tim Ryan,"Yes, I believe you can. But first, let’s say that president came he said, “Don’t sell your house to people in Youngstown, Ohio,” and in his administration, just in the last two years, we lost 4,000 jobs at a General Motors facility, that rippled throughout our community. General Motors got a tax cut. General Motors got a bail out. And then they have the audacity to move a new car that they’re going to produce to Mexico.",0 days 00:14:35.000000000,0 days 00:00:25.000000000,0 days 00:14:35.000000000,first_1
00:15:00,Tim Ryan,"I’ve had family members that have had to unbolt a machine from the factory floor, put it in a box, and ship it to China. My area where I come from in northeast Ohio, this issue we’re talking about here, it’s been going on 40 years. This is not a new phenomenon in the United States of America. The bottom 60% haven’t seen a raise since 1980, meanwhile, the top 1% controlled 90% of the wealth. We need an industrial policy saying, “We’re going to dominate building electric vehicles. There’s going to be 30 million made in the next 10 years. I want half of them made in the United States. I want to dominate the solar industry, and manufacturer those here in the United States.”",0 days 00:15:00.000000000,0 days 00:00:39.000000000,0 days 00:15:00.000000000,first_1
00:15:39,Jose,"Thank you. Senator Warren, are they coming back? Are these jobs coming back?",0 days 00:15:39.000000000,0 days 00:00:04.000000000,0 days 00:15:39.000000000,first_1
00:15:43,Elizabeth Warren,"We’ve had an industrial policy in the United States for decades now, and it’s basically been letting giant corporations do whatever they want to do. Giant corporations have exactly one loyalty and that is to profit, and if they can save a nickel by moving a job to Mexico or to Asia or to Canada, they’re going to do it. So here’s what I propose for an industrial policy. Start with a place where there’s a real need. There’s going to be a worldwide need for green technology, ways to clean up the air, ways to clean up the water, and we can be the ones to provide that.",0 days 00:15:43.000000000,0 days 00:00:32.000000000,0 days 00:15:43.000000000,first_1
00:16:15,Elizabeth Warren,"We need to go 10 fold in our research and development on green energy going forward, and then we need to say any corporation can come and use that research, they can make all kinds of products from it, but they have to be manufactured right here in the United States of America. And then we have to double down and sell it around the world.",0 days 00:16:15.000000000,0 days 00:00:24.000000000,0 days 00:16:15.000000000,first_1
00:16:39,Elizabeth Warren,"There’s a $23 trillion market coming for green products, we should be the leaders and the owners and we should have that 1.2 million manufacturing jobs here in America. We can do this.",0 days 00:16:39.000000000,0 days 00:00:15.000000000,0 days 00:16:39.000000000,first_1
00:16:54,Lester Holt,"Thank you. All right, we’re going to turn to the issue of healthcare right now, and really try to understand where there may or may not be daylight between you. Many people watching at home have health insurance coverage through their employer. Who here would abolish their private health insurance in favor of a government run plan? Just a show of hands, to start off with.",0 days 00:16:54.000000000,0 days 00:00:21.000000000,0 days 00:16:54.000000000,first_1
00:17:15,Lester Holt,"All right. Well, Senator Klobuchar, let me put the question to you. You’re one of the Democrats who wants to keep private insurance in addition to a government healthcare plan. Why is an incremental approach in your view better than sweeping overhaul?",0 days 00:17:15.000000000,0 days 00:00:14.000000000,0 days 00:17:15.000000000,first_1
00:17:29,Amy Klobuchar,"I think it’s a bold approach. It’s something that Barack Obama wanted to do when we were working on the Affordable Care Act, and that is a public option. I am just simply concerned about kicking half of America off of their health insurance in four years, which is exactly what this bill says. So let me go on beyond that. There’s a much bigger issue in addition to that, and that is pharmaceuticals.",0 days 00:17:29.000000000,0 days 00:00:24.000000000,0 days 00:17:29.000000000,first_1
00:17:53,Amy Klobuchar,"The president literally went on TV on Fox and said that, people’s heads would spin when they see how much he would bring down pharmaceutical prices. Instead, 2,500 drugs have gone up in double digits since he came into office. Instead, he gave $100 billion in giveaways to the Pharma companies. For the rest of us, for the rest of America, that’s what we call at home, all foam and no beer. We got nothing out of it. And so my proposal is to do something about Pharma, to take them on, to allow negotiation under Medicare, to bring in less expensive drugs from other countries. Pharma thinks they own Washington, well they don’t own me.",0 days 00:17:53.000000000,0 days 00:00:40.000000000,0 days 00:17:53.000000000,first_1
00:18:33,Lester Holt,"Your time is up, thank you. Senator Warren, you signed onto Bernie Sanders’ Medicare-for-all plan, and it would put essentially everybody on Medicare and then eliminate private plans that offers similar coverage. Is that the plan or path that you would pursue as president?",0 days 00:18:33.000000000,0 days 00:00:18.000000000,0 days 00:18:33.000000000,first_1
00:18:51,Elizabeth Warren,"Yes, I’m with Bernie on Medicare-for-all, and let me tell you why. I’ve spend a big chunk of my life studying why families go broke, and one of the number one reasons is the cost of healthcare, medical bills. And that’s not just for people who don’t have insurance, it’s for people who have insurance. Look at the business model of an insurance company. It’s to bring in as many dollars as they can in premiums and pay out as few dollars as possible for your healthcare. That leaves families with rising premiums, rising copays, and fighting with insurance companies to try to get the healthcare that their doctors say that they and their children need.",0 days 00:18:51.000000000,0 days 00:00:42.000000000,0 days 00:18:51.000000000,first_1
00:19:33,Elizabeth Warren,"Medicare-for-all solves that problem. I understand there are a lot of politicians who say, “Oh, it’s just not possible. We just can’t do it. It’s… ” Have a lot of political reasons for this, what they’re really telling you is they just won’t fight for it. Well, healthcare is a basic human right and I will fight for basic human right [inaudible 00:19:54].",0 days 00:19:33.000000000,0 days 00:00:24.000000000,0 days 00:19:33.000000000,first_1
00:19:57,Lester Holt,"Congressman O’Rourke, when you ran for Senate, you also praised the bill that would replace private insurance. This year you’re saying you’re no longer sure. Can you explain why?",0 days 00:19:57.000000000,0 days 00:00:10.000000000,0 days 00:19:57.000000000,first_1
00:20:07,Beto O’Rourke,"My goal is to ensure that every American is well enough to live to their full potential because they have health care. In Laredo, Texas, I met a young man 27 years old, told me that he’d been to a doctor once in his life and on that visit he was told he had Diabetes, he was told he had Glaucoma, and he was told untreated because he doesn’t have health care, he’ll be dead before the age of 40.",0 days 00:20:07.000000000,0 days 00:00:24.000000000,0 days 00:20:07.000000000,first_1
00:20:31,Beto O’Rourke,"So getting to guaranteed, high quality universal health care as quickly and surely as possible, has to be our goal. The ability to afford your prescriptions and go to a primary care provider. The ability to see a mental health care provider. In Texas, the single largest provider of mental healthcare services is the county jail system, today.",0 days 00:20:31.000000000,0 days 00:00:21.000000000,0 days 00:20:31.000000000,first_1
00:20:52,Beto O’Rourke,"Health care also has to mean that every woman can make her own decisions about her own body and has access to the care that makes that possible. Our plan says, if you’re uninsured, we enroll you in medicare. If you’re insufficiently insured, you can’t afford your premiums, we enroll you in medicare. But if you’re a member of a union that negotiated for a healthcare plan that you like because it works for you and your family, you’re able to keep it. We preserve choice by making sure everybody has health care.",0 days 00:20:52.000000000,0 days 00:00:25.000000000,0 days 00:20:52.000000000,first_1
00:21:17,Lester Holt,Your time is up congressman. But I do want to ask a follow-up on this just to be very clear. I’ll give you 10 seconds. Would you replace private insurance?,0 days 00:21:17.000000000,0 days 00:00:07.000000000,0 days 00:21:17.000000000,first_1
00:21:24,Beto O’Rourke,No. I think the choice is fundamental to our ability to get everybody cared for.,0 days 00:21:24.000000000,0 days 00:00:04.000000000,0 days 00:21:24.000000000,first_1
00:21:28,Bill de Blasio,"Hey, wait, wait. [crosstalk 00:21:29]. Private insurance is not working for tens of millions of Americans. When you talk about the copays, the deductibles, the premiums, the out of pocket expenses, it’s not working. How can you defend the system that’s not working?",0 days 00:21:28.000000000,0 days 00:00:10.000000000,0 days 00:21:28.000000000,first_1
00:21:38,Beto O’Rourke,"That’s right, so for those who’s not working they can choose medicare. For the [crosstalk 00:21:44] –",0 days 00:21:38.000000000,0 days 00:00:06.000000000,0 days 00:21:38.000000000,first_1
00:21:44,Bill de Blasio,You got to start by acknowledging the system is not working for people.,0 days 00:21:44.000000000,0 days 00:00:03.000000000,0 days 00:21:44.000000000,first_1
00:21:47,Beto O’Rourke,They’re able to keep them.,0 days 00:21:47.000000000,0 days 00:00:01.000000000,0 days 00:21:47.000000000,first_1
00:21:48,Bill de Blasio,Why are you defending private insurance [crosstalk 00:21:50] –,0 days 00:21:48.000000000,0 days 00:00:02.000000000,0 days 00:21:48.000000000,first_1
00:21:50,John Delaney,"100 million Americans say they like their private health insurance, by the way. It should be noted that 100 million Americans… I think we should be the party that keeps what’s working and fixes what’s broken. Doesn’t that make sense? We should give everyone in this country, healthcare is a basic human right for free. But we should also give them the option to buy private insurance. Why do we have to stand for taking away something from people and also it’s bad policy if you go to every hospital in this country and you asked them one question which is, how would it have been for you last year if every one of your bills were paid at the medicare rate? Every single hospital administrator said they would close.",0 days 00:21:50.000000000,0 days 00:00:42.000000000,0 days 00:21:50.000000000,first_1
00:22:32,John Delaney,"The Medicare-for-all bill requires payments to stay at current medicare rates. So to some extent we’re basically supporting a bill that will have every hospital closed. My dad was a union electrician, I actually grew up in a working class family. He loved the health care that the IBW gave him. I just always think about my dad at anything I would do, from a policy perspective. He’d look at me and he’d say, “Good job John, for getting healthcare for every American. But why are you taking my health care away?”",0 days 00:22:32.000000000,0 days 00:00:28.000000000,0 days 00:22:32.000000000,first_1
00:23:00,Lester Holt,"I’ve let this play a little bit because I’m fascinated to hear the daylight between you. Congresswoman Gabbard, will you weigh in here?",0 days 00:23:00.000000000,0 days 00:00:05.000000000,0 days 00:23:00.000000000,first_1
00:23:05,Tulsi Gabbard,"Yes. I think we’re talking about this in the wrong way. You’re talking about one bill over another bill. Really what we’re talking about is our objective. Making sure that every single sick American in this country is able to get the healthcare that they need. I believe Medicare-for-all is the way to do that. I also think that employers will recognize how much money will be saved by supporting a Medicare-for-all program. A program that will reduce the administrative costs, reduce the bureaucratic costs, and make sure that everyone gets that quality healthcare that they need.",0 days 00:23:05.000000000,0 days 00:00:33.000000000,0 days 00:23:05.000000000,first_1
00:23:38,Tulsi Gabbard,"I also think if you look at other countries in the world who have universal healthcare, every one of them has form of a role of private insurance. I think that’s what we’ve got to look at, taking the best of these ideas, but making sure unequivocally that no sick American goes without getting the care that they need regardless of how much or little money they have in their pocket.",0 days 00:23:38.000000000,0 days 00:00:21.000000000,0 days 00:23:38.000000000,first_1
00:23:59,Lester Holt,"Congresswoman, thanks. Let me turn to Senator Booker on this. Senator Booker, explain to me where you are. This is hugely important to people, so tell us where you are.",0 days 00:23:59.000000000,0 days 00:00:07.000000000,0 days 00:23:59.000000000,first_1
00:24:06,Cory Booker,"I absolutely will. First of all, we’re talking about this as a healthcare issue, but in communities like mine, low income communities, this is an education issue because kids who don’t have health care are not going to succeed in school. It is an issue for jobs and employment because people who do not have good healthcare, do not succeed at work. It’s even a retirement issue because in my community, African Americans have a lower life expectancy because of poor health care, and so where I stand is very clear.",0 days 00:24:06.000000000,0 days 00:00:23.000000000,0 days 00:24:06.000000000,first_1
00:24:29,Cory Booker,"Healthcare is not just a human right, it should be an American right, and I believe the best way to get there is Medicare-for-all but I have an urgency about this. When I am president of the United States, I’m not going to wait. We have to do the things immediately that are going to provide better care. And on this debate, I’m sorry. There are too many people profiteering off of the pain of people in America, from pharmaceutical companies to insurers.",0 days 00:24:29.000000000,0 days 00:00:25.000000000,0 days 00:24:29.000000000,first_1
00:24:54,Cory Booker,"Literally the overhead for insurers that they charge is 15%, while medicare overhead is only at 2%. We can do this better, and every single day I’ll be fighting to give people more access and more affordable cost until we get to my goal, which is every American having health care.",0 days 00:24:54.000000000,0 days 00:00:17.000000000,0 days 00:24:54.000000000,first_1
00:25:11,Lester Holt,"Your time is up Senator. I want to move back if I can, to congresswoman Gabbard.",0 days 00:25:11.000000000,0 days 00:00:01.000000000,0 days 00:25:11.000000000,first_1
00:25:12,Elizabeth Warren,"crosstalk 00:25:12], and that is that the insurance companies last year alone, suck $23 billion in profits out of the healthcare system, $23 billion, and that doesn’t count the money that was paid to executives, the money that was spent lobbying Washington. We have a giant industry that wants our healthcare system to stay the way it is because it’s not working for families, but it’s sure as heck working for them. It’s time for us to make families come first.",0 days 00:25:12.000000000,0 days 00:00:35.000000000,0 days 00:25:12.000000000,first_1
00:25:47,Lester Holt,Governor Inslee.,0 days 00:25:47.000000000,0 days 00:00:00.000000000,0 days 00:25:47.000000000,first_1
00:25:47,Jay Inslee,"It should not be an option in United States of America for any insurance company to deny women coverage for their exercise of their right of choice. And I am the only candidate here who has passed a law protecting a woman’s right of reproductive health and health insurance, and I’m the only candidate who has passed a public option. I respect everybody’s goals and plans here, but we do have one candidate that has actually advanced the ball, and we got to have access for everyone. I’ve done it [crosstalk 00:26:22] –",0 days 00:25:47.000000000,0 days 00:00:34.000000000,0 days 00:25:47.000000000,first_1
00:26:21,Lester Holt,Your time is up Governor Inslee. [crosstalk 00:26:23] –,0 days 00:26:21.000000000,0 days 00:00:00.000000000,0 days 00:26:21.000000000,first_1
