text,class_name
"I suspect people all over the country who are watching this debate are saying, “These are good people. They have great ideas.” But how come nothing really change? How come for the last 45 years wages have been stagnant for the middle class? How come we have the highest rate of childhood poverty? How come 45 million people still have student debt? How come three people own more wealth than the bottom half of America? And here is the answer. Nothing will change unless we have the guts to take on Wall Street, the insurance industry, the pharmaceutical industry, the military industrial complex, and the fossil fuel industry. If we don’t have the guts to take them on, we’ll continue to have plans, we’ll continue to have talk, and the rich will get richer, and everybody else will be struggling.",IMMIGRATION
cannot be the policeman of the world.,OTHER
"Senator Booker, thank you. Senator Warren, I want to come to you next because you have actually said in recent days that there are things you can get done with Republicans in the Senate. What can you get done on gun control?",GUN_CONTROL
"No, they weren’t.",OTHER
I’m asking you to trust me.,OTHER
"I mean, voting rights are essential for our democracy. Securing our elections is essential for our democracy. I’ve introduced legislation called the Securing America’s Elections Act that mandates paper ballots to make sure that every single voter’s voice is heard, but I want to get back to Pete Buttigieg and his comment about experience. Pete, you’ll agree that the service that we both have provided to our country as veterans by itself does not qualify us to serve as commander in chief. I think the most recent example of your inexperience in national security and foreign policy came from your recent careless statement about how you as president be willing to send our troops to Mexico to fight the cartels.",FOREIGN_POLICY
But this is a critical point. If a black child has a black teacher before the end of third grade they are 13% more likely to go to college. If that child has had two black teachers before the end of third grade they are 32% more likely to go to college. When we talk about investing in our public education system it is at the source of so much. When we fix it that will fix so many other things. We must invest in the potential-,EDUCATION
"Like Reagan, who met and worked with Gorbachev. These issues of national security are incredibly important. I will meet with and do what is necessary to make sure that no more of our brothers and sisters in uniform are needlessly sent into harm’s way fighting regime change wars that undermine our national security. I’ll bring real leadership and experience to the White House.",FOREIGN_POLICY
"We shouldn’t have to pay farmers to take the edge off of a trade war that shouldn’t have been started in the first place. I will support farmers, but not long ago I was in Boone, Iowa, a guy came up to me, he said, “I got my Trump bailout check, but I would have rather spent that money on conservation.” By the way, this isn’t even making farmers whole. If you’re in soybeans, for example, you’re getting killed and it’s not just what this president’s done with the trade war and a lot of parts of the country.",FOREIGN_POLICY
"Secretary Castro, your response?",OTHER
"So let’s start by framing the problem the right way. We have a gun violence problem in this country. The mass shootings are terrible, but they get all the headlines. Children die every day on streets, in neighborhoods, on playgrounds. People die from violence, from suicide and domestic abuse. We have a gun violence problem in this country and we agree on many steps we could take to fix it. My view on this is it’s not going to be won and done on this. We’re going to do it and we’re going to have to do it again and we’re going to have to come back some more until we cut the number of gun deaths in this country significantly. But here’s the deal. The question we need to ask is when we’ve got this much support across the country, 90% of Americans want to see us do…",GUN_CONTROL
"Literally the overhead for insurers that they charge is 15%, while medicare overhead is only at 2%. We can do this better, and every single day I’ll be fighting to give people more access and more affordable cost until we get to my goal, which is every American having health care.",HEALTHCARE
"Well first, I just want to stick up for Tom. We have a broken campaign finance system, but Tom has been spending his own money fighting climate change, and you can’t knock someone for having money and spending it in the right way, my opinion.",ENVIRONMENT
"What we will also do is not only have universal pre-K, we will make public colleges, and universities, and HBCUs debt free. What we will also do, because this is an incredible burden on millions and millions of young people who did nothing wrong except try to get the education they need, we are going to cancel all student debt in this country.",EDUCATION
We can’t afford to wait for evolution on these issues.,OTHER
Let me get to you in just a second.,OTHER
"Thank you, Mr. Vice President.",OTHER
"Everyone wants to get elected, but my point is this. I think when we have a guy in the White House that has now told over 10000 lies, that we better be very straight forward with the American people. And no, do I think that we are going to end up voting for a plan that kicks half of America off of their current insurance in four years? No, I don’t think we’re going to do that. I think there is a better way to get what we all want to see, which is lower costs for healthcare.",HEALTHCARE
"But the NRA is taking orders from the gun manufacturer, that’s the problem.",GUN_CONTROL
"I did make a bad judgment trusting the president saying he was only doing this to get inspectors in and get the UN to agree to put inspectors in. From the moment Shock and Awe started, from that moment, I was opposed to the effort and I was outspoken as much as anyone at all in the congress and the administration. Secondly, I was asked by the president in the first meeting we had on Iraq. He turned and said, “Joe, get our combat troops out.” In front of the entire national security team. One of the proudest moments of my life was to stand there in Al-Faw Palace and tell everyone that we’re coming, all our combat troops are coming, home.",FOREIGN_POLICY
"Thank you, Mr. Mayor. Senator Bennet?",OTHER
"Thank you, Mr, Yang. Let’s turn now to an issue that is on the minds of all Americans, and that is the economy. Senator Sanders, today, the House of Representatives voted for a new bipartisan trade agreement among the United States, Canada, and Mexico. It was supported by union-friendly leaders like Speaker Nancy Pelosi, and big labor groups like the AFL-CIO. They say it is going to be a big job creator. Senator, my question is, will you support this deal, and if not, why not?",ECONOMY
"I’m the only one running for president who actually supports the Trans-Pacific Partnership. President Obama was right about that. We should be getting back in that. Senator Warren just issued a trade plan that would prevent the United States from trading with its allies. We can’t go and we can’t isolate ourselves from the world. We have to engage with fair, rules-based trade.",FOREIGN_POLICY
"Showing up, listening, focusing on the challenges of every day Americans. That farmers are getting hit right now by Trump’s trade wars, that teacher work in a second job just to afford her insulin. They can’t wait for revolution. Their problems are on the here and now.",FOREIGN_POLICY
"Thank you, Senator Booker.",OTHER
"… to fear in this country. This is the first time in American history, this fall, where we have sent our children to school, the strongest nation on the planet Earth, and said to them, “We can’t protect you-",EDUCATION
"And I got to say to my good friend Joe Biden, Joe and I strongly disagree on trade. I helped lead the opposition to NAFTA and PNTR, which cost this country over four million good paying jobs. And what happened is people who had those jobs ended up getting other jobs making 50% of what they made in manufacturing.",ECONOMY
failing on this issue.,OTHER
"Thank you, Mr. Vice President. Congressman O’Rourke, Senate Democrats put out a report last year on Russia’s hostile actions around the world. They suggest the next president could fight back by publicly revealing what the U.S. knows about Putin’s corruption, and work with allies to freeze his bank accounts. Would you take either of those actions, even in the face of possible retaliation?",GOVERNMENT_REFORM
"When it comes to our health care, and when it comes to our premiums, I go with the doctor’s creed, which is do no harm. While Bernie wrote the bill, I read the bill. On page eight, on page eight of the bill, it says that we will no longer have private insurance as we know it. That means that 149 million Americans will no longer be able to have their current insurance. That’s in four years. I don’t think that’s a bold idea. I think it’s a bad idea. What I favor is something that what Barack Obama wanted to do from the very beginning, and that is a public option. A nonprofit choice that will bring down the cost of insurance, cover 12 million more people, and bring down the prices for 13 million more people. That is a bold idea.",HEALTHCARE
We can’t do it.,OTHER
"Under that system, by the way, vast majority of the people in this country will be paying significantly less for healthcare than they are right now.",HEALTHCARE
"Well first we should obviously be paying to relocate Americans away from places that are hit by climate change. We’re already doing it. We relocated a town in Louisiana that became uninhabitable because the sea levels rose. And we know that town is not alone. That’s playing out in coastal areas around the country. The question is, do you leave that town on its own to fend for itself or do you come together as a country and say, “We need to protect our people from climate change?” Part of my plan is literally called move people to higher ground. Because that’s what we need to do and that’s literal and figurative. Here in California, it’s forest fires and forest management. And nuclear power, I agree with the research. We need to have everything on the table in a crisis situation, which this is.",ENVIRONMENT
"Thank you, Mr. Vice president.",OTHER
"I think for the viewers in the audience right now, they’re at risk of losing the forest through the trees. Because the truth is, healthcare in America should be a right. When I was a young mother and had Theo as an infant, he had an allergic reaction to eggs and his whole body turned red and puffy. I had to rush him to the emergency room. My heart is palpitating, because I’m worried that his throat will close. I am not worried about not having an insurance card, or a credit card in my wallet. I know whatever they’re going to prescribe, whether it’s an EpiPen or an inhaler, I can afford it. The truth about healthcare in America today is people can’t afford it. They cannot afford, and these insurance companies, for these plans that rely on insurance companies, I’m sorry.",HEALTHCARE
"Oh, I like that. Okay.",OTHER
because this is not just an American issue.,OTHER
Deal with these children.,OTHER
But it’s a nice thought.,OTHER
"You know what else unites us? And I’ll tell you this, what unites us is that right now on Mitch McConnell’s desk are three bills, universal background checks, closing the Charleston loophole and passing my bill to make sure that domestic abusers don’t get AK47.",REPUBLICANS
That’ll be a surprise to him.,OTHER
"Yes I do and I appreciate Elizabeth’s work. But again, the difference between a plan and a pipe dream is something that you can actually get done and we can get this public option done and we can take on the pharmaceutical companies and bring down the prices. But what really bothers me about this discussion, which we’ve had so many times, is that we don’t talk about the things that I’m hearing about from regular Americans that is longterm care. We are seeing, I once called it a silver tsunami, the aging, and then someone told me that was too negative. So I call it the silver surge, the aging of the population. We need to make it easier to get longterm care insurance and strengthen Medicaid. In this state, the state of Ohio that has been hit by the opioid epidemic, we need to take on those pharma companies and make them pay for the addictions that they have caused and the people that they have killed. Those are the issues that I hear about when I’m in Toledo",HEALTHCARE
"I want to acknowledge something that we’re all touching on, which is the very foundation of this country. The wealth that we have built, the way we became the greatest country on the face of the planet, was literally on the backs of those who were kidnapped and brought here by force. The legacy of slavery and segregation and Jim Crow and suppression is alive and well in every aspect of the economy and in the country today. As president, I will sign into law and new Voting Rights Act. I will focus on education, address healthcare disparities. But I will also sign into law Sheila Jackson Lee’s reparations bill so that we can have the national conversation we’ve waited too long in this country to have.",HEALTHCARE
"Yeah, we can do that. By the way, hi Rachel.",OTHER
And I’m glad that we’ve increased our union membership 10%.,OTHER
"Look, the way I see this, it is hard enough to get a diagnosis that your child has cancer. To think about the changes in your family, if your mom’s got diabetes or what it means for your life going forward if you’ve been diagnosed with M.S. But what you shouldn’t have to worry about is how you’re going to pay for your healthcare after that.",HEALTHCARE
"There is no reason for us to be at war all over the world tonight. As president, I will end those wars and we will not start new wars. We will not send more US service members overseas to sacrifice their lives and to take the lives of others in our name. We can resolve-",FOREIGN_POLICY
"Thank you, vice president. I would like to bring you in.",OTHER
Okay. Mr. Vice President. I’m trying to be quick.,OTHER
"You have said that Democrats who want to limit them are, quote, “Just jumping into bed with teacher’s unions and doing kids a disservice.” Why isn’t tax payer money better spent on fixing traditional public schools?",EDUCATION
"I mean, Senator Sanders does not know all of the union contracts in the United States. I’m trying to explain that these union members are losing their jobs. Their wages have been stagnating. The world is crumbling around them. The only thing they have is possibly really good healthcare, and the democratic message is going to be, “We’re going to go in and the only thing you have left, we’re going to take it and we’re going to do better.” I do not think that’s a recipe for success for us. It’s bad policy and it’s certainly bad politics.",HEALTHCARE
"It’s not just the price fixing and the corruption and the greed of the pharmaceutical industry, it’s what’s going on in the fossil fuel industry. It’s what’s going on in Wall Street. It’s what’s going on with the prison industrial complex. We need a mass political movement.",GOVERNMENT_REFORM
"Thank you, Mr. Steyer. Mr. Yang, you want to decriminalize the possession and use of small amounts of opioids, including heroin. How would that solve the crisis?",HEALTHCARE
"The reason I can speak to this, it’s well known, if any of you followed my view on Afghanistan, I was sent by the president before we got sworn in to Afghanistan to come back with a report. I said there was comprehensive policy available and then I got in a big fight for a long time with the Pentagon because I strongly opposed the nation building notion. We set about rebuilding that country as a, as a whole nation is beyond our capacity. I argued from the very beginning that we should have a policy that was based on an anti-terrorism policy with a very small footprint that in fact only had special forces to deal with potential threats from that territory to the United States of America.",FOREIGN_POLICY
"In fact, if we want to beat Mr. Trump, I think somebody who can go toe to toe with them and show them to be a fraud and a failure as a business person, and a fraud and a failure as a steward of the American economy, is going to be necessary. He is one. His tax plan’s a failure. His trade war is a failure. I would love to take him on as a real businessman and show-",ECONOMY
"Thank you. Congresswoman Gabbard, what’s your response?",OTHER
"Well, I very much hope we’re not going to have to relocate entire cities, but we will probably have to relocate some individual residents. And the problem right now is that this climate change is this existential crisis and you are seeing it here in California with the fires that you just had. You saw it in Northern California as was mentioned with Paradise and the most moving video from that to me was a 30 second video of that dad driving his little girl through the lapping fires with his neighborhood burning behind him and singing to her to calm her down.",ENVIRONMENT
… everything from tech on down.,OTHER
"I do. We’re democracy, and the way our democracy is supposed to work is the will of the people matters. Now we for far too long have had a congress in Washington that has just completely dismissed what people care about across this country. They have made this country work much better for those who can make giant contributions, made it work better for those who hire armies of lobbyists and lawyers and not made it work for the people.",GOVERNMENT_REFORM
"Thank you. Congresswoman Gabbard. We’re going to move here. One of the first things you did after launching your campaign was to issue an apology to the LGBTQ community about your past stances and statements on gay rights. After the Trump administration’s rollbacks of civil rights protections for many in that community, why should voters in that community or voters that care about this issue in general, trust you now?",CIVIL_RIGHTS
"And for Donald Trump to be doing what he’s doing to children and their families at the borders… I say this as somebody who wrote the immigration bill in 2013, that created a pathway to citizenship for 11 million people in this country, that had the most progressive Dream Act that’s every been conceived, much less passed. It got 68 votes in the Senate. That had 46 billion dollars of border security in it. That was sophisticated 21st Century border security, not a medieval wall.",IMMIGRATION
"The issue, if I may say, is not generational.",OTHER
"These are Wars that have cost us as American taxpayers, trillions of dollars since 9/11 alone, dollars that have come out of our pockets, out of our hospitals, out of our schools, out of our infrastructure needs. As president, I will end this foreign policy, end these regime change wars, work to end this new cold war and arms race, and instead invest our hard earned taxpayer dollars actually into serving needs of the American people right here at home.",FOREIGN_POLICY
"And if there was a letter, she was brighter than the day. And if it wasn’t, she’d say, “Well, maybe tomorrow.” This is about building for our entire nation and I believe we should do that. I also believe we should have other service opportunities in this country. For example, what I want to do is for our federal lands, I want to bring in 10,000 people who want to be able to serve in our federal lands to be able to help rebuild our national forests and national parks as a way to express both their public service and their commitment to fighting back against climate change-",ENVIRONMENT
"Senator Klobuchar, thank you very much. Congressman O’Rourke, please respond.",OTHER
I hope you’ll come back to me this time.,OTHER
… make Donald Trump pay for it.,OTHER
"So I see this as a constitutional moment. Last night, the president was impeached, and everyone now in the Senate who’s taken a constitutional oath to uphold our constitution, and that doesn’t mean loyalty to an individual, it doesn’t mean loyalty to a political party, it means loyalty to our country, and that vote will play out over the next several weeks. But the way I see this is we’ve now seen the impact of corruption, and that’s what’s clearly on the stage in 2020, is how we are going to run against the most corrupt president in living history. This president has made corruption, originally, his argument, that he would drain the swamp. And yet he came to Washington, broke that promise, and has done everything he can for the wealthy and the well-connected, from tax breaks to ambassadorships. We have to prosecute the case against him, and that means we need a candidate for president who can draw the sharpest distinction between the corruption of the Trump administration and a Democrat who is willing to get out and fight, not for the wealthy and well-connected, but to fight for everyone else. That’s why I’m in this race.",GOVERNMENT_REFORM
"That will save their life. It is immoral, it is untenable-",OTHER
"No, look. Demonizing wealthy people. What I talked about is how you get things done. The way to get things done is take a look at the tax code right now. We have to start rewarding work, not just wealth. I would eliminate the capital gains tax that… I would raise the capital gains tax to the highest rate of 39.5%. I would double it, because guess what? Why in God’s name should someone who’s clipping coupons in the stock market make… in fact, pay a lower tax rate than someone who, in fact, is… like I said, a school teacher and a firefighter. It’s ridiculous, and they pay a lower tax.",EDUCATION
"Secretary Castro, I’d like to talk to you about something that Senator Booker just mentioned there, the idea of active shooter drills in schools. The school shooting seem like an almost everyday or every week occurrence, now they don’t make a complete news cycle anymore no matter the death toll as parents are so afraid as their kids go off to school that their kids will be caught up in something like this. Next to nothing has changed in federal law that might affect the prevalence of school shootings. Is this a problem that is going to continue to get worse over our lifetimes or is there something that you would do as president that you really think would turn it around?",EDUCATION
"Well, I’ve made clear that this will be a topic of day one action, and this is not theoretical for me. I live in one of those river cities that you’re talking about. Not only that, I live right by the river. My neighborhood flooded in the second of two once in a millennium floods that we had in two years. Do the math on that so I know what’s at stake and it’s why I insist that we act with a carbon tax and dividend with massive increases in renewable research on renewable energy, energy storage and carbon storage. But bigger than that, you have to summon the energies of the entire country to deal with this.",ENVIRONMENT
"Let me tell you, we count on the people who’ve been in government for the last 30 years, who were around when this problem was created to be the ones to solve it. It’s going to be the next generation, the 40 million of us, who can’t start a family, can’t take a good idea and start a business and can’t buy our first home. This is the generation that’s going to be able to solve student loan debt, this generation is ready to lead.",ECONOMY
"On day one, I will make sure that, number one we end the ICE policies and the customs and border policies are violating the human rights. When people come to this country, they do not leave their human rights at the border. Number two, I will make sure that we reinstate DACA, that we reinstate pathways to citizenship for DACA recipients and to make sure that people that are here on temporary protected status can stay and remain here. And then finally, we need to make sure that we address the issues that made Oscar and Valeria come in the first place, by making major investments in the northern triangle not like this president is doing, by ripping away the resources we need to actually solve this problem. We cannot surrender our values and think that we’re going to get border security, we actually will lose security and our values. We must fight for both.",IMMIGRATION
"I’ve got to respond to that. Look, we’ve taken so many steps towards police accountability. The FOP just denounced me for too much accountability. We’re obviously not there yet. I accept responsibility for that because I am in charge.",FOREIGN_POLICY
"Let me say that I agree with Senator Warren in much of what she says. I’ve been for a wealth tax for over a year. I’m in favor of undoing all the tax breaks for rich people and big corporations that this administration has put through. And in addition, I’ve talked about equilibrating the taxes on passive investment income, which would allow us to cut taxes for 95% of Americans by 10%. But there’s something else going on here that I think is really important, and that’s this. We know Mr. Trump’s going to run on the economy.",ECONOMY
"Just to clarify Vice President, who are you saying is being vague?",OTHER
I’d like to be able to respond-,OTHER
"Well, obviously I disagree with that, as much as I respect both of the senators to my right. I think it comes down to that question of Americans being used to being able to make choices, to have the right to make a decision. And I think proposing a public option that allows some form of Medicare that maybe is a combination of Medicare Advantage and Medicare, that people choose it. And if enough people choose it, it expands, the quality improves, the cost comes down, more people choose it. Eventually, in 15 years, you could get there, but it would be an evolution, not a revolution.",HEALTHCARE
a dictator for the sake of a photo op.,OTHER
"Let’s talk about healthcare. This is going to be a show of hands question. We asked a question about healthcare last night that spurred a lot of discussion, as you know. We’re going to do it again now. Many people watching at home have healthcare through their employer. Who here would abolish their private health insurance in favor of a government run plan?",HEALTHCARE
"We need to be laser focused on solving the real challenges of today, like the fact that the most common job jobs in America may not exist in a decade. Or, that most Americans cannot pay their bills. My flagship proposal, the Freedom Dividend, would put $1,000 a month into the hands of every American adult, be a game changer for millions of American families. If you care more about your family and your kids than my neckwear, enter your zip code at yang2020.com, and see what $1,000 a month would mean to your community. I have done the math. It’s not left. It’s not right. It’s forward. And that is how we’re going to beat Donald Trump in 2020.",ECONOMY
I’m going to guess he wasn’t talking about me either.,OTHER
"I think we’ve got to focus on where Donald Trump is failing. The word malpractice, and this is interesting, I always thought it was doctors or lawyers. It’s negligent, improper, illegal professional activity for doctors, lawyers or public officials. Google it. Check it out. Donald Trump is malpractice personified. We’ve got to point that out. Why is it soybean farmers in Iowa did 10 good years to get back to where they were two years ago? Where’s the small manufacturing jobs that are supposed to come back? Why are we lurching from one international crisis to another? All things that he promised American voters. We’ve got to focus on that and the economy and jobs and training, so that we can promise a future for America that everybody wants to invest in.",ECONOMY
"They think that running some kind of vague campaign that nibbles around the edges of big problems in this country is a winning strategy. They are wrong. If all Democrats can promise is after Donald Trump, it will be business as usual, then we will lose. Democrats win when we call out what’s broken and we show how to fix it, Democrats will win when we fight for the things that touch people’s lives, things like childcare and healthcare and housing costs, Democrats will win when we give people a reason to get in the fight.",HEALTHCARE
"When we pulled the nation out of the worst financial recession in history, I’ve been there. And I’ve got so many pieces of legislation passed, including the Affordable Care Act, as well as making sure that we had the Recovery Act which kept us from going into depression. I know what has to be done. I will not need any on the job training the day I take office, and I will release my medical records, as I have 21 years of my tax records, which no one else on this stage has done, so that you can have full transparency as to my health and what I am doing.",HEALTHCARE
"The way we fix it… The way we fix this is we take Martin Luther King’s message of a guaranteed minimum income, a freedom dividend of $1,000 a month for all Americans. I guarantee, if we had a freedom dividend of $1,000 a month, I would not be the only candidate of color on this stage tonight.",ECONOMY
"It could work. I am open to it, but I want to give a reality check here to Elizabeth, because no one on this stage wants to protect billionaires. Not even the billionaire wants to protect billionaires. We just have different approaches. Your idea is not the only idea. When I look at this, I think about Donald Trump, the guy that after that tax bill passed, went to Mar-a-Lago, got together with his cronies, and said, “Guess what, you guys all got a lot richer.” That was the one time in his presidency he told the truth. We have different ways. I would repeal significant portions of that tax bill that helped the rich, including what he did with the corporate tax rate, including what he did on international taxation. You add it all up, you got a lot of money that one, helps pay for that childcare, protects that dignity of work, makes sure we have decent retirement and makes sure that our kids can go to good schools.",ECONOMY
"Well, I would have to reevaluate. I think some of them are effective, but he’s bungled the whole thing, obviously. See, here’s the problem with President Trump. One of many. He has a tactical move. What’s the grand strategy for the United States? China has a 100-year plan, a 50-year plan, a 30-year plan, a 20-year plan. We live in a 24-hour news cycle. That spells disaster for our economy, and disaster for our global politics.",ECONOMY
"Secretary Castro, 45 seconds to explain.",OTHER
In check from abusing it.,OTHER
Best prepared candidate in American history and beat her.,OTHER
"I enlisted in the Army National Guard after the Al-Qaida terror attacks on 911, so I could go after those who had attacked us on that day, I still serve as a Major. I served over 16 years, deployed twice in the Middle East, and in Congress, I’ve serve on the foreign affairs and armed services committees for over six years. I know the importance of our national security, as well as the terribly high cost of war. And for too long, our leaders have failed us, taking us from one regime change war to the next, leading us into a new cold war, an arms race costing us trillions of our hard earned taxpayer dollars and countless lives.",FOREIGN_POLICY
"Senator, thank you.",OTHER
"Thank you, Senator. Mayor Buttigieg.",OTHER
"Secretary Castro, you have 45 seconds, sir.",OTHER
"Mr. Yang, your response.",OTHER
Could I answer the crisis?,OTHER
"One of the industries most at risk from a changing economy is the auto industry. General Motors used to be the largest employer in Ohio. Now it’s 72nd. Today, thousands of GM workers here in Ohio and across the country are on strike. All of you on the stage have voiced support for these workers. Senator Booker, one of the latest impasses in negotiations involves bringing jobs back from Mexico. As president, how would you convince GM to return production to the United States?",ECONOMY
"And second of which, as we transition to this clean energy economy, you’ve got to recognize there are folks that have spent their whole life powering our country, and far too often, Democrats sound like they’re part of the problem. We got to make sure to aid in those transitions as we get to a carbon neutral world, which I think we can do by 2040.",ENVIRONMENT
Allow him to respond. Please allow him to respond.,OTHER
"Thank you very much. Well that’s quite a lot. But I grew up in one of those neighborhoods that folks have talked about. In a neighborhood that was grappling with the legacy of segregation. In fact in two public school districts that were involved in a 1973 Supreme Court case, challenging how Texas financed its schools.",EDUCATION
"That is incorrect. I just have a better way to do this. And in one of my first debates, Jake, I was called a street fighter from the iron range by my opponent. And when she said it, I said, “Thank you.” So, this is what I think we need to get done. We need the public option. That’s what Barack Obama wanted, and it would bring healthcare costs down for everyone. And by the way, I just don’t buy this. I’ve heard some of these candidates say that it’s somehow not moral to not have that public option. Well, Senator Sanders was actually on a public option bill last year and that was, Bernie, the Medicaid public option bill that Senator Schatz introduced. Clearly, this is the easiest way to move forward quickly, and I want to get things done. People can’t wait. I’ve got my friend, Nicole, out there whose son was actually died trying to ration his insulin as a restaurant manager and he died because he didn’t have the enough money to pay for it. And Bernie and I have worked on pharmaceutical",HEALTHCARE
Welcome back everyone to the first democratic presidential debate in the Arsht Center in Miami.,OTHER
Welcome back to the CNN New York Times Democratic Presidential Debate. Marc Lacey from the New York Times starts off our questioning. Marc.,OTHER
"Yeah. I don’t understand why Democrats on this stage are fear-mongering about universal healthcare. It makes no sense. Ask the American people, they are sick of what the pharmaceutical companies are doing to them. Ask them what they feel about the health insurance companies, they feel it’s holding back their families because they can’t get the coverage they need. They get a lot of nos, they don’t get a lot of help from health insurance companies. Why are we not going to be the party that does something bold? That says, “We don’t need to be dependent on private insurance.” We could have a system that actually covers everyone.",HEALTHCARE
"Go ahead. Go ahead, Senator.",OTHER
